	Argument ID	Conclusion	Stance	Premise
0	A01002	We should ban human cloning	in favor of	we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.
1	A01005	We should ban fast food	in favor of	fast food should be banned because it is really bad for your health and is costly.
2	A01006	We should end the use of economic sanctions	against	sometimes economic sanctions are the only thing that will get the corrupt governments to take action
3	A01007	We should abolish capital punishment	against	capital punishment is sometimes the only option to keep criminals from committing more crimes.
4	A01008	We should ban factory farming	against	factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.
5	A01009	We should fight for the abolition of nuclear weapons	against	nuclear weapons help keep the peace in uncertain times
6	A01010	We should prohibit school prayer	against	it should be allowed if the student wants to pray as long as it is not interfering with his classes
7	A01011	We should abolish the three-strikes laws	in favor of	three strike laws can cause young people to be put away for life without a chance to straight out their life
8	A01014	We should adopt an austerity regime	against	adopting austerity regime will have very negative impact on the poor and the vulnerable in society.
9	A01015	We should adopt an austerity regime	in favor of	we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up
10	A01016	We should adopt gender-neutral language	against	gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.
11	A01018	We should end the use of economic sanctions	against	economic sanctions provide a non-military sanction to use against countries.
12	A01019	We should ban factory farming	in favor of	factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.
13	A01020	We should subsidize journalism	in favor of	It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.
14	A02003	We should cancel pride parades	against	there are parades for every group and it is discrimination not to give gays their parade
15	A02004	We should ban cosmetic surgery for minors	in favor of	children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.
16	A02005	We should legalize prostitution	in favor of	we should legalize prostitution because it will be regulated meaning the females will be safer
17	A02006	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.
18	A02007	We should ban algorithmic trading	in favor of	algorithms may not be 100% accurate and reflect the situation in the real market
19	A02008	We should legalize organ trade	in favor of	We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.
20	A02010	We should legalize cannabis	against	if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.
21	A02011	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons pose too serious a threat to our world.  we must abolish them now.
22	A02012	We should ban telemarketing	in favor of	telemarketing doesn't differentiate between people who are interested in being called and those who aren't
23	A02013	We should prohibit school prayer	in favor of	school prayer cannot account for the array of beliefs or non-beliefs students may hold.
24	A02014	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.
25	A02015	We should ban the Church of Scientology	in favor of	they are nothing but a cult and manipulate their members
26	A02016	We should legalize organ trade	in favor of	we need more organs than people donate so legalizing it would be a good thing
27	A02019	We should prohibit school prayer	in favor of	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.
28	A02020	We should subsidize Wikipedia	against	wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized
29	A03001	We should introduce compulsory voting	in favor of	where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.
30	A03002	We should legalize prostitution	against	legalizing prostitution will further demean a woman or man and result in unnecessary violence.
31	A03003	We should ban the Church of Scientology	in favor of	there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this
32	A03004	We should abolish the three-strikes laws	against	this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist
33	A03006	We should legalize cannabis	in favor of	cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.
34	A03007	We should adopt gender-neutral language	against	we should not have to change our language to accommodate those who do not adhere to a specific gender
35	A03008	We should abolish zoos	in favor of	we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.
36	A03009	We should ban fast food	in favor of	fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.
37	A03010	We should adopt a multi-party system	in favor of	it would give people more of a choice  and provides someone for every culture to vote for
38	A03011	We should ban fast food	in favor of	fast food is bad for our health and we really should ban any of it
39	A03012	We should stop the development of autonomous cars	in favor of	autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.
40	A03013	We should subsidize journalism	in favor of	journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.
41	A03015	We should cancel pride parades	in favor of	pride parades create a huge disturbance
42	A03016	We should abolish the Olympic Games	against	Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision
43	A03017	We should ban factory farming	in favor of	factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.
44	A03019	We should abolish capital punishment	in favor of	capital punishment has been proven ineffective in reducing crime rates.
45	A04001	We should abolish the right to keep and bear arms	against	we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.
46	A04002	We should subsidize space exploration	against	there are more important things to spend public funds on such as health care, housing and education.
47	A04003	We should abandon the use of school uniform	in favor of	School uniforms keep children from being able to express themselves through their clothing choices.
48	A04004	We should ban human cloning	in favor of	human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.
49	A04006	We should cancel pride parades	in favor of	why should homosexuals have a pride parade?heterosexuals don't have them!
50	A04007	We should prohibit school prayer	against	allowing children to pray and take some quiet time in school can be beneficial for their mental health.
51	A04008	We should adopt a multi-party system	in favor of	We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.
52	A04009	We should abolish intellectual property rights	in favor of	ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished
53	A04010	We should subsidize journalism	against	there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.
54	A04011	We should legalize cannabis	against	cannabis is highly addictive, studies show up to one-in10 users develop dependence over time
55	A04013	We should adopt gender-neutral language	against	we should not adopt gender neutral language because were created as male and female
56	A04014	We should ban whaling	in favor of	whaling is a barbaric practice that destroys majestic animals
57	A04016	We should limit executive compensation	against	executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.
58	A04017	We should adopt a zero-tolerance policy in schools	against	zero telerance policied do not address underlying causes for the behaviour that is causing the issue
59	A04018	We should abandon the use of school uniform	in favor of	School uniforms are too expensive and many parents can not afford the extra expense.
60	A04020	We should fight for the abolition of nuclear weapons	in favor of	Nuclear weapons should be abolished because they have to potential to cause so much destruction.
61	A05001	We should abolish intellectual property rights	in favor of	ideas are free thoughts so it's not fair for one person to profit off of it
62	A05003	We should end the use of economic sanctions	in favor of	economic sanctions affect poor people more than governments
63	A05005	We should ban factory farming	in favor of	factory farming is bad for the environment and should be banned
64	A05006	We should legalize organ trade	in favor of	if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.
65	A05012	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research should be subsidized because it only requires a small amount of cells because of the fast replication rate
66	A05013	We should ban private military companies	in favor of	private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.
67	A05014	We should adopt libertarianism	in favor of	libertarianism fosters a more equitable and efficient society for all
68	A05015	We should abolish safe spaces	in favor of	these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.
69	A05016	We should stop the development of autonomous cars	against	the use of autonomous cars should result in a substantial reduction in road traffic accidents which currently are largely a result of human error.
70	A05017	We should ban cosmetic surgery	in favor of	cosmetic surgery is unnecessary and dangerous.
71	A05018	We should abolish the Olympic Games	in favor of	the olympic games cause turmoil and a lot of money.
72	A05021	We should legalize cannabis	in favor of	Legalizing marijuana would lead to a reduction in gang-related drug violence.
73	A05022	We should adopt gender-neutral language	in favor of	we should adopt gender-neutral language because it avoids offending people with gender stereo-types
74	A05023	We should ban algorithmic trading	in favor of	algorithmic trading should be banned as it manipulates the economy to benefit stockholders.
75	A05027	We should ban whaling	against	There is little difference between the whaling industry  and our farming industries; humans are entitled to hunt animals to eat them and utilize them to our benefit.
76	A05028	We should ban the use of child actors	in favor of	the world of show has proven to be full of vices that in the case of children is very harmful
77	A05031	We should limit executive compensation	in favor of	we should limit executives earnings.  some ceo's get millions of dollars for a salary plus housing, airplanes, and even get a package to leave the company.  all this while average worker could use more.
78	A05033	We should subsidize embryonic stem cell research	against	this research is very controversial and against many religions
79	A05034	We should abolish the three-strikes laws	in favor of	three is an arbitrary number and may not be appropriate in some instances or for some crimes
80	A05036	We should end mandatory retirement	in favor of	the loss of experience and knowledge from mandatory retirement is costly to businesses
81	A05039	We should subsidize student loans	in favor of	student loans set children up to be valuable citizens and the state should support this
82	A05040	We should legalize sex selection	against	we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population
83	A05041	We should oppose collectivism	in favor of	collectivism prevents original thoughts and discourages people from looking for their own ideas
84	A05042	We should ban missionary work	in favor of	missionary work plays on the ignorance of local people to exploit them
85	A05044	We should limit judicial activism	in favor of	"activists judges aren't the ones shaping the laws. they're not ""all"" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments"
86	A05045	We should subsidize Wikipedia	against	subsidizing wikipedia can cause it to provide biased information
87	A05047	We should oppose collectivism	in favor of	treating everyone as a large group unit is not helpful for people who have different individual needs.
88	A05048	We should ban fast food	against	fast food is sometimes the only way poor people can feed their families cheaply. if you ban it then you are taking away someone's only meal.
89	A05049	We should prohibit school prayer	in favor of	prayer in schools violates a person's right to follow whatever religion they choose.
90	A05050	We should introduce compulsory voting	against	compulsory voting goes against people's liberties and freedoms.
91	A05052	We should end the use of economic sanctions	against	economic sanctions can assist in deterring deadly threats against our nation
92	A05053	We should introduce compulsory voting	in favor of	compulsory voting makes for more informed voters
93	A05054	We should adopt libertarianism	against	there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows, if everyone pleased themselves no one would help each other.
94	A05057	We should subsidize Wikipedia	against	subsidizing wikipedia could be a back gateway to some form of governmental control, debasing the validity of the articles and information provided.
95	A05058	We should cancel pride parades	against	pride parades encourage people to claim the rights and freedoms they are entitled to
96	A05059	We should cancel pride parades	against	pride parades can show everyone that we tolerate everyone
97	A05063	We should ban factory farming	in favor of	it should be banned so that it doesn't take away our farms and will cause more global warming
98	A05064	We should abolish zoos	against	zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction.
99	A05067	We should ban cosmetic surgery for minors	in favor of	cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure.
100	A05068	We should ban targeted killing	against	targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.
101	A05069	We should adopt a multi-party system	against	the two-party system is cheaper and easier to operate that any multi-party system
102	A05070	We should adopt atheism	in favor of	we should adopt atheism because it would be easier than being religious and having so many different beliefs
103	A05071	We should ban human cloning	in favor of	human cloning should be banned because it allows designer humans to be grown according to the parents wishes.
104	A05073	We should ban whaling	in favor of	whaling is inhumane and unnecessary and killing the whale population.
105	A05074	We should adopt an austerity regime	in favor of	an austerity regime will help to reduce the deficit of the country
106	A05075	We should adopt an austerity regime	against	people should not have to endure higher taxes to pay for the government's inefficiency.
107	A05076	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.
